"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","ZIMS_1960-1990",0,1,0.760024154589372,0.239975845410628,0.894954481849556,21.4882931848607,21.4882931848607
"Loxodonta africana","Female","ZIMS_1960-1990",1,0.760024154589372,0.933747855917667,0.0662521440823327,0.743812479077514,20.5933387030111,27.0956371302928
"Loxodonta africana","Female","ZIMS_1960-1990",2,0.709670924793464,0.98493376542157,0.0150662345784297,0.707470988905301,19.8495262239336,27.9700429177234
"Loxodonta africana","Female","ZIMS_1960-1990",3,0.698978856167034,1,0,0.698978856167034,19.1420552350283,27.3857428821194
"Loxodonta africana","Female","ZIMS_1960-1990",4,0.698978856167034,0.982242328432489,0.017757671567511,0.691497178640274,18.4430763788613,26.3857428821194
"Loxodonta africana","Female","ZIMS_1960-1990",5,0.686566619206586,0.99163003340953,0.00836996659046951,0.685333656022436,17.751579200221,25.8555815322557
"Loxodonta africana","Female","ZIMS_1960-1990",6,0.680820079541695,0.99601593625498,0.00398406374501992,0.680820079541695,17.0662455441986,25.0671889050144
"Loxodonta africana","Female","ZIMS_1960-1990",7,0.678107648945911,0.984280155642023,0.0157198443579767,0.672085608928725,16.3854254646569,24.1634576606344
"Loxodonta africana","Female","ZIMS_1960-1990",8,0.667447902246528,1,0,0.667447902246528,15.7133398557282,23.5424215176038
"Loxodonta africana","Female","ZIMS_1960-1990",9,0.667447902246528,0.987215392449262,0.0127846075507383,0.662691151077743,15.0458919534816,22.5424215176038
"Loxodonta africana","Female","ZIMS_1960-1990",10,0.658914842755743,1,0,0.658914842755743,14.3832008024039,21.8286186151914
"Loxodonta africana","Female","ZIMS_1960-1990",11,0.658914842755743,0.991150442477876,0.00884955752212391,0.657076496584426,13.7242859596482,20.8286186151914
"Loxodonta africana","Female","ZIMS_1960-1990",12,0.653083737952595,0.995454545454545,0.00454545454545452,0.653083737952595,13.0672094630637,20.0084747233627
"Loxodonta africana","Female","ZIMS_1960-1990",13,0.650115175507356,0.968090770776041,0.0319092292239586,0.636243048904543,12.4141257251111,19.0952714115972
"Loxodonta africana","Female","ZIMS_1960-1990",14,0.629370501350117,0.980952380952381,0.0190476190476191,0.622098796535551,11.7778826762066,18.7137507254325
